Red,Green,Blue,Name
93,138,168,Air Force Blue
240,248,255,Alice Blue
227,38,54,Alizarin
229,43,80,Amaranth
255,191,0,Amber
164,198,57,Android Green
141,182,0,Apple Green
251,206,177,Apricot
127,255,212,Aquamarine
75,83,32,Army Green
59,68,75,Arsenic
233,214,107,Arylide Yellow
178,190,181,Ash Grey
135,169,107,Asparagus
255,153,102,Atomic Tangerine
109,53,26,Auburn
0,127,255,Azure
137,207,240,Baby Blue
161,202,241,Baby Blue Eyes
244,194,194,Baby Pink
255,209,42,Banana Yellow
132,132,130,Battleship Grey
152,119,123,Bazaar
245,245,220,Beige
61,43,31,Bistre
0,0,0,Black
49,140,231,Bleu De France
250,240,190,Blond
0,0,255,Blue
222,93,131,Blush
121,68,59,Bole
204,0,0,Boston University Red
181,166,66,Brass
102,255,0,Bright Green
191,148,228,Bright Lavender
195,33,72,Bright Maroon
255,0,127,Bright Pink
8,232,222,Bright Turquoise
209,159,232,Bright Ube
0,66,37,British Racing Green
205,127,50,Bronze
150,75,0,Brown
255,193,204,Bubble Gum
231,254,255,Bubbles
240,220,130,Buff
128,0,32,Burgundy
222,184,135,Burlywood
204,85,0,Burnt Orange
233,116,81,Burnt Sienna
138,51,36,Burnt Umber
189,51,164,Byzantine
112,41,99,Byzantium
83,104,120,Cadet
0,107,60,Cadmium Green
237,135,45,Cadmium Orange
227,0,34,Cadmium Red
163,193,173,Cambridge Blue
120,134,107,Camouflage Green
255,239,0,Canary Yellow
255,8,0,Candy Apple Red
196,30,58,Cardinal
0,204,153,Caribbean Green
150,0,24,Carmine
153,186,221,Carolina Blue
237,145,33,Carrot Orange
146,161,207,Ceil
172,225,175,Celadon
0,123,167,Cerulean
42,82,190,Cerulean Blue
160,120,90,Chamoisee
247,231,206,Champagne
54,69,79,Charcoal
223,255,0,Chartreuse
222,49,99,Cherry
255,183,197,Cherry Blossom Pink
205,92,92,Chestnut
123,63,0,Chocolate
255,167,0,Chrome Yellow
152,129,123,Cinereous
227,66,52,Cinnabar
210,105,30,Cinnamon
228,208,10,Citrine
251,204,231,Classic Rose
0,255,111,Clover
0,71,171,Cobalt
155,221,255,Columbia Blue
0,46,99,Cool Black
140,146,172,Cool Grey
184,115,51,Copper
255,56,0,Coquelicot
255,127,80,Coral
137,63,69,Cordovan
251,236,93,Corn
179,27,27,Cornell Red
100,149,237,Cornflower Blue
255,248,220,Cornsilk
255,253,208,Cream
220,20,60,Crimson
0,255,255,Cyan
255,255,49,Daffodil
240,225,48,Dandelion
0,0,139,Dark Blue
101,67,33,Dark Brown
93,57,84,Dark Byzantium
164,0,0,Dark Candy Apple Red
8,69,126,Dark Cerulean
152,105,96,Dark Chestnut
205,91,69,Dark Coral
0,139,139,Dark Cyan
184,134,11,Dark Goldenrod
1,50,32,Dark Green
26,36,33,Dark Jungle Green
189,183,107,Dark Khaki
72,60,50,Dark Lava
115,79,150,Dark Lavender
139,0,139,Dark Magenta
0,51,102,Dark Midnight Blue
85,107,47,Dark Olive Green
255,140,0,Dark Orange
119,158,203,Dark Pastel Blue
3,192,60,Dark Pastel Green
150,111,214,Dark Pastel Purple
194,59,34,Dark Pastel Red
231,84,128,Dark Pink
0,51,153,Dark Powder Blue
135,38,87,Dark Raspberry
233,150,122,Dark Salmon
86,3,25,Dark Scarlet
